FECHA_CORTE,FECHA_REGISTRO,ANO_EJEC,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,COMISIONADO,CENTRO_COSTO,FECHA_INICIO_COMISION,FECHA_FIN_COMISION,FECHA_RENDICION_VIATICOS,FF_PVI,CLASIFICADOR_VIATICO_PVI,TIPO_RUTA,MONTO_TOTAL_VIATICO_PVI,MONTO_PASAJE,GASTO_ALIMENTACION,GASTO_HOSPEDAJE,GASTO_MOVILIDAD
20230731,20221012,2022,LIMA,LIMA,LIMA,150101,0x04739D21B7EFE7669C9977B818F73F7B,DIRECCION GENERAL DE CONSTRUCCION,20221025,20221031,20221103,18,2.6. 8  1. 4  3,T,1613.33,600,438,700,475.33
20230731,20190412,2019,LIMA,LIMA,LIMA,150101,0x04909B4CA49DA36CA724758261141503,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,20190421,20190422,20190503,0,2.3. 2  1. 2  2,T,320,300,104,120,96
20230731,20190219,2019,LIMA,LIMA,LIMA,150101,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE CONTABILIDAD,20190220,20190222,20190227,0,2.3. 2  1. 2  2,T,640,300,248,200,192
20230731,20191114,2019,PIURA,HUANCABAMBA,HUARMACA,200304,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE CONTABILIDAD,20191121,20191122,20191127,9,2.3. 2  1. 2  2,T,200,0,120,40,0
20230731,20191202,2019,LIMA,LIMA,LIMA,150101,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE CONTABILIDAD,20191204,20191206,20191212,0,2.3. 2  1. 2  2,T,640,300,248,200,192
20230731,20221011,2022,LIMA,LIMA,LIMA,150101,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20221012,20221015,20221020,0,2.3. 2  1. 2  2,T,960,300,482.25,200,288
20230731,20221207,2022,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20221212,20221214,20221228,0,2.3. 2  1. 2  2,T,360,80,150,150,140
20230731,20230321,2023,LIMA,LIMA,LIMA,150101,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20230323,20230325,20230327,0,2.3. 2  1. 2  2,A,640,1170,195,252.8,192
20230731,20200214,2020,LIMA,LIMA,LIMA,150101,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20200220,20200222,20200228,0,2.3. 2  1. 2  2,A,640,980.41,300,150,190
20230731,20201202,2020,PIURA,HUANCABAMBA,HUARMACA,200304,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20201203,20201204,20201218,0,2.3. 2  1. 2  2,T,160,0,120,40,0
20230731,20211111,2021,PIURA,HUANCABAMBA,SONDORILLO,200308,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20211123,20211126,20211206,0,2.3. 2  1. 2  2,T,480,140,220,160,100
20230731,20211111,2021,PIURA,AYABACA,JILILI,200203,0x062CB755F7A1EF80218E4B6DA32EE824,OFICINA DE TESORERIA,20211123,20211126,20211206,0,2.3. 2  1. 2  2,T,480,140,220,160,100
20230731,20220331,2022,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,0x064DD957F31336897C62B4771A427C0B,DIRECCION REGIONAL DE VIVIENDA CONSTRUCCION Y SANEAMIENTO,20220411,20220413,20220506,0,2.3. 2  1. 2  2,T,640,160,208,240,192
20230731,20220909,2022,LIMA,LIMA,LIMA,150101,0x064DD957F31336897C62B4771A427C0B,DIRECCION REGIONAL DE VIVIENDA CONSTRUCCION Y SANEAMIENTO,20220911,20220914,20221220,0,2.3. 2  1. 2  2,T,1000,300,312,240,538
20230731,20230512,2023,ANCASH,SANTA,CHIMBOTE,21801,0x064DD957F31336897C62B4771A427C0B,DIRECCION REGIONAL DE VIVIENDA CONSTRUCCION Y SANEAMIENTO,20230521,20230522,20230607,0,2.3. 2  1. 2  2,T,373.33,200,139,120,111.99
20230731,20190222,2019,LIMA,LIMA,LIMA,150101,0x067ABA3553E70D86D5F5AE62FC353CF7,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,20190213,20190215,20190304,0,2.3. 2  1. 2  2,A,666.67,1669,141.6,150.33,192
20230731,20190222,2019,LIMA,LIMA,LIMA,150101,0x067ABA3553E70D86D5F5AE62FC353CF7,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,20190220,20190222,20190306,0,2.3. 2  1. 2  2,A,680,1034,34,479.8,170
20230731,20190405,2019,LIMA,LIMA,LIMA,150101,0x067ABA3553E70D86D5F5AE62FC353CF7,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,20190403,20190404,20190430,0,2.3. 2  1. 2  2,A,333.33,881,156,190,96
20230731,20190315,2019,LIMA,LIMA,LIMA,150101,0x067ABA3553E70D86D5F5AE62FC353CF7,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,20190314,20190315,20190315,0,2.3. 2  1. 2  2,A,346.67,829,49,100,96
20230731,20190507,2019,LIMA,LIMA,LIMA,150101,0x067ABA3553E70D86D5F5AE62FC353CF7,OFICINA DE COMUNICACIONES E IMAGEN INSTITUCIONAL,20190502,20190503,20190522,0,2.3. 2  1. 2  2,A,320,731.39,NULL,239.9,96
20230731,20230606,2023,LIMA,LIMA,LIMA,150101,0x0734E6EB1B16750A72E34BEDD8C0AA5F,INSTITUTO REGIONAL DE CIENCIA   TECONOLOGIA E INNOVACION,20230611,20230615,20230621,0,2.3. 2  1. 2  2,A,1320,900,363,480,396
20230731,20220616,2022,LIMA,LIMA,LIMA,150101,0x0734E6EB1B16750A72E34BEDD8C0AA5F,INSTITUTO REGIONAL DE CIENCIA   TECONOLOGIA E INNOVACION,20220621,20220624,20220705,0,2.3. 2  1. 2  2,A,960,1100,231.9,280,288
20230731,20220524,2022,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,0x0734E6EB1B16750A72E34BEDD8C0AA5F,INSTITUTO REGIONAL DE CIENCIA   TECONOLOGIA E INNOVACION,20220531,20220602,20220614,0,2.3. 2  1. 2  2,T,640,100,208,240,192
20230731,20220321,2022,AREQUIPA,AREQUIPA,AREQUIPA,40101,0x0734E6EB1B16750A72E34BEDD8C0AA5F,INSTITUTO REGIONAL DE CIENCIA   TECONOLOGIA E INNOVACION,20220322,20220325,20220408,0,2.3. 2  1. 2  2,A,1280,2300,437,480,384
20230731,20220909,2022,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,0x07649B26F0B223075FA55DB7DA35632D,ARCHIVO REGIONAL,20220921,20220924,20220928,0,2.3. 2  1. 2  2,T,960,120,390.5,300,288
20230731,20230515,2023,LIMA,LIMA,LIMA,150101,0x07649B26F0B223075FA55DB7DA35632D,ARCHIVO REGIONAL,20230517,20230520,20230522,0,2.3. 2  1. 2  2,T,960,320,324,360,288
20230731,20190610,2019,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,0x07649B26F0B223075FA55DB7DA35632D,ARCHIVO REGIONAL,20190626,20190628,20190709,0,2.3. 2  1. 2  2,T,640,100,142.8,310,192
20230731,20230309,2023,LIMA,LIMA,LIMA,150101,0x08A6B719B59AA5DB6FFDAAC799965BE9,DIRECCION GENERAL DE CONSTRUCCION,20230309,20230311,20230427,15,2.6. 8  1. 4  3,A,640,1555,308,240,92
20230731,20190220,2019,LIMA,LIMA,LIMA,150101,0x09AA669E2EE85EE64391B8728977668D,OFICINA DE TESORERIA,20190221,20190223,20190304,0,2.3. 2  1. 2  2,T,640,300,530,90,96
20230731,20191217,2019,ANCASH,SANTA,CHIMBOTE,21801,0x09AA669E2EE85EE64391B8728977668D,OFICINA DE TESORERIA,20191208,20191210,20191227,0,2.3. 2  1. 2  2,T,640,100,373,70,192
20230731,20220620,2022,LIMA,LIMA,LIMA,150101,0x0AF53D69D146577F46E5A035403EC9FD,UNIDAD FORMULADORA,20220621,20220624,20220630,18,2.6. 8  1. 4  3,A,960,1200,335.6,250,288
20230731,20220321,2022,AREQUIPA,AREQUIPA,AREQUIPA,40101,0x0AF53D69D146577F46E5A035403EC9FD,UNIDAD FORMULADORA,20220322,20220326,20220401,18,2.6. 8  1. 4  3,A,1280,2300,590.6,480,288
20230731,20230621,2023,ICA,ICA,ICA,110101,0x0B8A80315964839DC2AB651B0AF77A37,SUB GERENCIA REGIONAL DE DESARROLLO SOCIAL,20230626,20230629,20230814,0,2.3. 2  1. 2  2,T,960,400,448.9,260,288
20230731,20190815,2019,LIMA,LIMA,LIMA,150101,0x0B8A80315964839DC2AB651B0AF77A37,OFICINA DE ABASTECIMIENTOS  SERVICIOS AUXILIARES Y CONTROL PATRIMONIAL,20190813,20190816,20190917,9,2.3. 2  1. 2  2,T,986.67,300,297,375,288
20230731,20190218,2019,LIMA,LIMA,LIMA,150101,0x0B8A80315964839DC2AB651B0AF77A37,OFICINA DE ABASTECIMIENTOS  SERVICIOS AUXILIARES Y CONTROL PATRIMONIAL,20190221,20190223,20190308,0,2.3. 2  1. 2  2,T,640,300,174,250,192
20230731,20190917,2019,LIMA,LIMA,SAN ISIDRO,150131,0x0D90A022D8633D6EAECF5F6BF72637AF,DIRECCION REGIONAL DE LA PRODUCCION PIURA,20190919,20190921,20191023,0,2.3. 2  1. 2  2,T,640,260,NULL,NULL,0
20230731,20190916,2019,TUMBES,TUMBES,TUMBES,240101,0x0D90A022D8633D6EAECF5F6BF72637AF,DIRECCION REGIONAL DE LA PRODUCCION PIURA,20190912,20190913,20191023,0,2.3. 2  1. 2  2,T,320,60,75,180,96
20230731,20191025,2019,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,0x0D90A022D8633D6EAECF5F6BF72637AF,DIRECCION REGIONAL DE LA PRODUCCION PIURA,20191027,20191028,20191113,9,2.3. 2  1. 2  2,T,320,120,105.9,120,96
20230731,20221012,2022,LIMA,LIMA,LIMA,150101,0x0DA5929FAA1E1102D7732EBD8F9F37A5,DIRECCION DE OBRAS,20221025,20221031,20221103,18,2.6. 8  1. 4  3,T,1613.33,600,546,599,468.33
20230731,20230215,2023,PIURA,HUANCABAMBA,SONDORILLO,200308,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230302,20230303,20230308,0,2.3. 2  1. 2  2,T,200,0,100,100,0
20230731,20230726,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230703,20230707,20230816,15,2.6. 8  1. 4  3,T,500,0,250,250,0
20230731,20230726,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230710,20230714,20230817,15,2.6. 8  1. 4  3,T,500,0,250,250,0
20230731,20230726,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230717,20230721,20230817,15,2.6. 8  1. 4  3,T,500,0,250,250,0
20230731,20230516,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230515,20230519,20230531,15,2.6. 8  1. 4  3,T,500,0,250,250,0
20230731,20230516,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230522,20230523,20230531,15,2.6. 8  1. 4  3,T,200,0,100,100,0
20230731,20230525,2023,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20230524,20230526,20230714,15,2.6. 8  1. 4  3,T,300,0,NULL,NULL,0
20230731,20220620,2022,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20220627,20220629,20220711,18,2.6. 8  1. 4  3,T,300,0,150,100,0
20230731,20220620,2022,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20220620,20220624,20220711,18,2.6. 8  1. 4  3,T,500,0,250,200,0
