FECHA_CORTE;CODIGO_UNICO;SECTOR;OPMI;UF;UEI;UBIGEO;DEPRTAMENTO;PROVINCIA;FUNCION;TIPO_DE_INVERSION;NOMBRE_DE_INVERSION;COSTO_ACTUALIZADO;DEVENGADO_ACUMULADO_AL_31_DIC_2021);PIM_2022;MONTO_ANO_2022;MONTO_ANO_2023;MONTO_ANO_2024;MONTO_ANO_2025
20/10/2022;2553557;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150500;LIMA;CAÑETE;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS MALA - MALA  DISTRITO DE MALA, PROVINCIA CAÑETE, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2549074;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150500;LIMA;CAÑETE;EDUCACION;INVERSIONES IOARR;"ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) INSTITUTO DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA SAN JOSEMARIA ESCRIVA  DISTRITO DE SAN VICENTE DE CAÑETE, PROVINCIA CAÑETE, DEPARTAMENTO LIMA";377400;0;377400;5000;0;0;0
20/10/2022;2551201;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;DIRECCION REGIONAL DE AGRICULTURA;150000;LIMA;MULTIPROVINCIAL;PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA;PROYECTO DE INVERSION;MEJORAMIENTO DE LOS SERVICIOS DE ASISTENCIA TECNICA, ASESORAMIENTO Y ATENCION A LOS PRODUCTORES AGROPECUARIOS A TRAVES DE LAS AGENCIAS AGRARIAS Y DIRECCION REGIONAL DE AGRICULTURA EN LAS 9 PROVINCIAS DEL DEPARTAMENTO DE LIMA;2131504;0;2131504;2131504;0;0;0
20/10/2022;2553530;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150700;LIMA;HUAROCHIRI;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL SAN JUAN DE MATUCANA - MATUCANA  DISTRITO DE MATUCANA, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2553514;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150600;LIMA;HUARAL;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL CHANCAY Y SERVICIOS BASICOS DE SALUD - CHANCAY  DISTRITO DE CHANCAY, PROVINCIA HUARAL, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2405804;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;MUNICIPALIDAD DISTRITAL DE COCHAMARCA;GERENCIA REGIONAL DE INFRAESTRUCTURA;150600;LIMA;HUARAL;SANEAMIENTO;PROYECTO DE INVERSION;MEJORAMIENTO DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL CENTRO POBLADO DE INMACULADA CONCEPCION DE PASAC (PASAC) - DISTRITO DE ATAVILLOS ALTO - PROVINCIA DE HUARAL - REGIÓN LIMA;1486228;1347881;138347;28840;0;0;0
20/10/2022;2553588;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150500;LIMA;CAÑETE;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS SAN LUIS - SAN LUIS  DISTRITO DE SAN LUIS, PROVINCIA CAÑETE, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2553506;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150600;LIMA;HUARAL;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL SAN JUAN BAUTISTA HUARAL - HUARAL  DISTRITO DE HUARAL, PROVINCIA HUARAL, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2553469;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150500;LIMA;CAÑETE;SALUD;INVERSIONES IOARR;"ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL REZOLA - SAN VICENTE DE CAÑETE  DISTRITO DE SAN VICENTE DE CAÑETE, PROVINCIA CAÑETE, DEPARTAMENTO LIMA";38000;0;38000;38000;0;0;0
20/10/2022;2522316;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;DIRECCION REGIONAL DE AGRICULTURA;150800;LIMA;HUAURA;PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA;PROYECTO DE INVERSION;CREACION DEL SERVICIO DE APOYO AL DESARROLLO PRODUCTIVO DE LA PITAHAYA EN LOS DISTRITOS DE HUAURA, SAYAN Y SANTA MARIA DE LA  PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA;454890;0;454891;454891;0;0;0
